Student_number,file_1_mark,file_2_mark,file_3_mark,Feedback
a07230cc,0,0,0,"Output for test_file 1 was incorrect
 Output for test_file 2 was incorrect
 Output for test_file 3 was incorrect
"
a08872aa,1,1,1,
a11694mc,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
a24872zh,1,1,0,"Output for test_file 3 was incorrect
"
a38752yw,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
a43986rb,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
a60628wl,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
a63140nd,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_a63140nd/./decrypt_a63140nd.py"", line 4, in <module>
     file = open(fname, ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: '***Removed due to privacy***/decrypt_a63140nd/midterm_files/Example_inputs/Example_inputs_program2/test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
a65914zc,1,0,1,"Output for test_file 2 was incorrect
"
a81060bs,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_a81060bs/./decrypt_a81060bs.py"", line 16, in <module>
     f = open(sys.argv[1], 'r')
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
a86442gs,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
a98056wl,1,1,1,
a98714zk,1,0,1,"Output for test_file 2 was incorrect
"
b03791zc,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_b03791zc/./decrypt_b03791zc.py"", line 17, in <module>
     Output = open(filepath, ""w"")
 FileNotFoundError: [Errno 2] No such file or directory: './results_encrypt/./results_encrypt/test_file1_b03791zc'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
b05899em,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
b11903lm,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
b12745nd,1,1,1,
b16225mz,1,1,1,
b26193dm,1,1,0,"Output for test_file 3 was incorrect
"
b39141od,1,1,1,
b42667ni,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
b48871sa,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
b63095jv,1,1,1,
b64065ab,1,1,1,
b69141na,1,1,1,
b78373dm,1,1,1,
b87145mt,1,1,1,
b88575jh,1,1,0,"Output for test_file 3 was incorrect
"
b88861sh,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_b88861sh/./decrypt_b88861sh.py"", line 59, in <module>
     f = open(input_filepath, 'r', encoding='utf-8')
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
