Student_number,file_1_mark,file_2_mark,file_3_mark,Feedback
"m65577ha
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"p49263ca
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"w25478ia
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"j48751oa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"h26115aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"p91607ma
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"p06411ua
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"m55182va
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"h64203za
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"t50885aa
",1,0,0,"Correct checking for file 1
Incorrect checking for file 2
Incorrect checking for file 3
"
"b91517ea
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"y59276ma
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"p55643na
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"j29815fa
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"p80249ra
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"s55264aa
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"p17540oa
",0,0,0,"Incorrect checking for file 1
Incorrect checking for file 2
Incorrect checking for file 3
"
"r88993ia
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"m65670fa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"j09180ga
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"d03211aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"f63279ma
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"j14088na
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"h70565na
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"y69004la
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"y59426ra
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"p93899aa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"s03884aa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"b48871sa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"m01964ua
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"e37076ka
",0,0,0,"Incorrect checking for file 1
Incorrect checking for file 2
Incorrect checking for file 3
"
"r50263ma
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"f54617sa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"s58860aa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"c81776oa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"x74657fa
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"p01679ma
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"e17646fa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"f01643ka
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"v80015aa
",1,1,0,"Correct checking for file 1
Correct checking for file 2
Incorrect checking for file 3
"
"s09672ba
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
"w65214ka
",1,1,1,"Correct checking for file 1
Correct checking for file 2
Correct checking for file 3
"
"m46198sa
",0,0,0,"No file output or incorrect output format for test file 1
No file output or incorrect output format for test file 2
No file output or incorrect output format for test file 3
"
